asia-east1,Changhua County
asia-east2,Hong Kong
asia-northeast1,Tokyo
asia-northeast2,Osaka
asia-northeast3,Seoul
asia-south1,Mumbai
asia-southeast1,Jurong West
asia-southeast2,Jakarta
australia-southeast1,Sydney
europe-north1,Hamina
europe-west1,St. Ghislain
europe-west2,London
europe-west3,Frankfurt
europe-west4,Eemshaven
europe-west6,Zürich
northamerica-northeast1,Montréal
southamerica-east1,Osasco
us-central1,Council Bluffs
us-east1,Moncks Corner
us-east4,Ashburn
us-west1,The Dalles
us-west2,Los Angeles
us-west3,Salt Lake City
us-west4,Las Vegas
